month,level_1,level_2,value
1972-12,All Items,Food Servicing Services,na
1972-12,All Items,Clothing & Footwear,61.411
1972-12,All Items,Housing & Utilities,27.264
1972-12,All Items,Household Durables And Services,40.687
1972-12,All Items,Health Care,21.612
1972-12,All Items,Transport,20.465
1972-12,All Items,Communication,131.831
1972-12,All Items,Recreation & Culture,52.579
1972-12,All Items,Education,18.195
1972-12,All Items,Miscellaneous Goods & Services,24.252
1973-01,All Items,Food,29.892
1973-01,All Items,Food Excl Food Servicing Services,na
1973-01,All Items,Food Servicing Services,na
1973-01,All Items,Clothing & Footwear,62.328
1973-01,All Items,Housing & Utilities,27.264
1973-01,All Items,Household Durables And Services,40.5
1973-01,All Items,Health Care,21.616
1973-01,All Items,Transport,20.483
1973-01,All Items,Communication,131.831
1973-01,All Items,Recreation & Culture,52.673
1973-01,All Items,Education,18.195
1973-01,All Items,Miscellaneous Goods & Services,24.24
1973-02,All Items,Food,31.616
1973-02,All Items,Food Excl Food Servicing Services,na
1973-02,All Items,Food Servicing Services,na
1973-02,All Items,Clothing & Footwear,63.092
1973-02,All Items,Housing & Utilities,27.783
1973-02,All Items,Household Durables And Services,41.216
1973-02,All Items,Health Care,21.624
1973-02,All Items,Transport,20.488
1973-02,All Items,Communication,131.831
1973-02,All Items,Recreation & Culture,52.724
1973-02,All Items,Education,18.195
1973-02,All Items,Miscellaneous Goods & Services,24.745
1973-03,All Items,Food,31.639
1973-03,All Items,Food Excl Food Servicing Services,na
1973-03,All Items,Food Servicing Services,na
1973-03,All Items,Clothing & Footwear,66.015
1973-03,All Items,Housing & Utilities,27.783
1973-03,All Items,Household Durables And Services,41.899
1973-03,All Items,Health Care,21.609
1973-03,All Items,Transport,20.488
1973-03,All Items,Communication,131.831
1973-03,All Items,Recreation & Culture,53.077
1973-03,All Items,Education,18.195
1973-03,All Items,Miscellaneous Goods & Services,24.759
1973-04,All Items,Food,31.79
1973-04,All Items,Food Excl Food Servicing Services,na
1973-04,All Items,Food Servicing Services,na
1973-04,All Items,Clothing & Footwear,69.126
1973-04,All Items,Housing & Utilities,27.796
1973-04,All Items,Household Durables And Services,42.923
1973-04,All Items,Health Care,21.628
1973-04,All Items,Transport,20.488
1973-04,All Items,Communication,131.831
1973-04,All Items,Recreation & Culture,53.127
1973-04,All Items,Education,18.195
1973-04,All Items,Miscellaneous Goods & Services,24.855
1973-05,All Items,Food,34.234
1973-05,All Items,Food Excl Food Servicing Services,na
1973-05,All Items,Food Servicing Services,na
1973-05,All Items,Clothing & Footwear,70.672
1973-05,All Items,Housing & Utilities,28.159
1973-05,All Items,Household Durables And Services,45.016
1973-05,All Items,Health Care,21.648
1973-05,All Items,Transport,20.489
1973-05,All Items,Communication,131.831
1973-05,All Items,Recreation & Culture,53.395
1973-05,All Items,Education,18.195
1973-05,All Items,Miscellaneous Goods & Services,24.875
1973-06,All Items,Food,36.23
1973-06,All Items,Food Excl Food Servicing Services,na
1973-06,All Items,Food Servicing Services,na
1973-06,All Items,Clothing & Footwear,71.36
1973-06,All Items,Housing & Utilities,28.168
1973-06,All Items,Household Durables And Services,45.546
1973-06,All Items,Health Care,21.781
1973-06,All Items,Transport,20.489
1973-06,All Items,Communication,131.831
1973-06,All Items,Recreation & Culture,53.582
1973-06,All Items,Education,19.042
1973-06,All Items,Miscellaneous Goods & Services,24.953
1973-07,All Items,Food,39.253
1973-07,All Items,Food Excl Food Servicing Services,na
1973-07,All Items,Food Servicing Services,na
1973-07,All Items,Clothing & Footwear,72.009
1973-07,All Items,Housing & Utilities,28.168
1973-07,All Items,Household Durables And Services,46.757
1973-07,All Items,Health Care,21.834
1973-07,All Items,Transport,20.508
1973-07,All Items,Communication,131.831
1973-07,All Items,Recreation & Culture,53.582
1973-07,All Items,Education,19.042
1973-07,All Items,Miscellaneous Goods & Services,25.284
1973-08,All Items,Food,39.88
1973-08,All Items,Food Excl Food Servicing Services,na
1973-08,All Items,Food Servicing Services,na
1973-08,All Items,Clothing & Footwear,73.925
1973-08,All Items,Housing & Utilities,28.168
1973-08,All Items,Household Durables And Services,47.626
1973-08,All Items,Health Care,21.875
1973-08,All Items,Transport,20.508
1973-08,All Items,Communication,131.831
1973-08,All Items,Recreation & Culture,53.861
1973-08,All Items,Education,19.042
1973-08,All Items,Miscellaneous Goods & Services,25.308
1973-09,All Items,Food,39.795
1973-09,All Items,Food Excl Food Servicing Services,na
1973-09,All Items,Food Servicing Services,na
1973-09,All Items,Clothing & Footwear,74.275
1973-09,All Items,Housing & Utilities,28.163
1973-09,All Items,Household Durables And Services,48.02
1973-09,All Items,Health Care,22.985
1973-09,All Items,Transport,20.509
1973-09,All Items,Communication,131.831
1973-09,All Items,Recreation & Culture,53.861
1973-09,All Items,Education,19.042
1973-09,All Items,Miscellaneous Goods & Services,25.342
1973-10,All Items,Food,42.046
1973-10,All Items,Food Excl Food Servicing Services,na
1973-10,All Items,Food Servicing Services,na
1973-10,All Items,Clothing & Footwear,74.87
1973-10,All Items,Housing & Utilities,28.183
1973-10,All Items,Household Durables And Services,49.894
1973-10,All Items,Health Care,23.035
1973-10,All Items,Transport,20.513
1973-10,All Items,Communication,131.831
1973-10,All Items,Recreation & Culture,54.179
1973-10,All Items,Education,19.042
1973-10,All Items,Miscellaneous Goods & Services,25.443
1973-11,All Items,Food,45.025
1973-11,All Items,Food Excl Food Servicing Services,na
1973-11,All Items,Food Servicing Services,na
1973-11,All Items,Clothing & Footwear,75.606
1973-11,All Items,Housing & Utilities,28.547
1973-11,All Items,Household Durables And Services,50.262
1973-11,All Items,Health Care,23.039
1973-11,All Items,Transport,20.513
1973-11,All Items,Communication,131.831
1973-11,All Items,Recreation & Culture,54.179
1973-11,All Items,Education,19.042
1973-11,All Items,Miscellaneous Goods & Services,25.506
1973-12,All Items,Food,44.046
1973-12,All Items,Food Excl Food Servicing Services,na
1973-12,All Items,Food Servicing Services,na
1973-12,All Items,Clothing & Footwear,76.441
1973-12,All Items,Housing & Utilities,28.553
1973-12,All Items,Household Durables And Services,50.855
1973-12,All Items,Health Care,23.047
1973-12,All Items,Transport,20.779
1973-12,All Items,Communication,131.831
1973-12,All Items,Recreation & Culture,54.179
1973-12,All Items,Education,19.042
1973-12,All Items,Miscellaneous Goods & Services,25.588
1974-01,All Items,Food,45.886
1974-01,All Items,Food Excl Food Servicing Services,na
1974-01,All Items,Food Servicing Services,na
1974-01,All Items,Clothing & Footwear,76.687
1974-01,All Items,Housing & Utilities,30.949
1974-01,All Items,Household Durables And Services,54.296
1974-01,All Items,Health Care,24.97
1974-01,All Items,Transport,21.775
1974-01,All Items,Communication,131.831
1974-01,All Items,Recreation & Culture,57.264
1974-01,All Items,Education,19.042
1974-01,All Items,Miscellaneous Goods & Services,25.782
1974-02,All Items,Food,46.717
1974-02,All Items,Food Excl Food Servicing Services,na
1974-02,All Items,Food Servicing Services,na
1974-02,All Items,Clothing & Footwear,76.98
1974-02,All Items,Housing & Utilities,30.892
1974-02,All Items,Household Durables And Services,55.448
1974-02,All Items,Health Care,24.978
1974-02,All Items,Transport,26.205
1974-02,All Items,Communication,131.831
1974-02,All Items,Recreation & Culture,57.453
1974-02,All Items,Education,19.042
1974-02,All Items,Miscellaneous Goods & Services,26.784
1974-03,All Items,Food,46.656
1974-03,All Items,Food Excl Food Servicing Services,na
1974-03,All Items,Food Servicing Services,na
1974-03,All Items,Clothing & Footwear,77.921
1974-03,All Items,Housing & Utilities,31.287
1974-03,All Items,Household Durables And Services,56.134
1974-03,All Items,Health Care,25.348
1974-03,All Items,Transport,29.593
1974-03,All Items,Communication,131.831
1974-03,All Items,Recreation & Culture,57.924
1974-03,All Items,Education,19.042
1974-03,All Items,Miscellaneous Goods & Services,28.359
1974-04,All Items,Food,45.446
1974-04,All Items,Food Excl Food Servicing Services,na
1974-04,All Items,Food Servicing Services,na
1974-04,All Items,Clothing & Footwear,78.005
1974-04,All Items,Housing & Utilities,31.323
1974-04,All Items,Household Durables And Services,56.664
1974-04,All Items,Health Care,26.202
1974-04,All Items,Transport,29.749
1974-04,All Items,Communication,131.831
1974-04,All Items,Recreation & Culture,57.924
1974-04,All Items,Education,19.042
1974-04,All Items,Miscellaneous Goods & Services,29.254
1974-05,All Items,Food,45.418
1974-05,All Items,Food Excl Food Servicing Services,na
1974-05,All Items,Food Servicing Services,na
1974-05,All Items,Clothing & Footwear,78.005
1974-05,All Items,Housing & Utilities,31.53
1974-05,All Items,Household Durables And Services,56.878
1974-05,All Items,Health Care,26.241
1974-05,All Items,Transport,29.765
1974-05,All Items,Communication,131.831
1974-05,All Items,Recreation & Culture,57.924
1974-05,All Items,Education,19.042
1974-05,All Items,Miscellaneous Goods & Services,29.287
1974-06,All Items,Food,45.647
1974-06,All Items,Food Excl Food Servicing Services,na
1974-06,All Items,Food Servicing Services,na
1974-06,All Items,Clothing & Footwear,78.024
1974-06,All Items,Housing & Utilities,31.5
1974-06,All Items,Household Durables And Services,56.9
1974-06,All Items,Health Care,26.241
1974-06,All Items,Transport,29.789
1974-06,All Items,Communication,131.831
1974-06,All Items,Recreation & Culture,57.922
1974-06,All Items,Education,19.958
1974-06,All Items,Miscellaneous Goods & Services,29.292
1974-07,All Items,Food,45.853
1974-07,All Items,Food Excl Food Servicing Services,na
1974-07,All Items,Food Servicing Services,na
1974-07,All Items,Clothing & Footwear,78.119
1974-07,All Items,Housing & Utilities,32.729
1974-07,All Items,Household Durables And Services,58.338
1974-07,All Items,Health Care,25.982
1974-07,All Items,Transport,29.789
1974-07,All Items,Communication,131.831
1974-07,All Items,Recreation & Culture,58.065
1974-07,All Items,Education,19.958
1974-07,All Items,Miscellaneous Goods & Services,29.294
1974-08,All Items,Food,46.365
1974-08,All Items,Food Excl Food Servicing Services,na
1974-08,All Items,Food Servicing Services,na
1974-08,All Items,Clothing & Footwear,78.202
1974-08,All Items,Housing & Utilities,32.716
1974-08,All Items,Household Durables And Services,58.631
1974-08,All Items,Health Care,26.059
1974-08,All Items,Transport,29.804
1974-08,All Items,Communication,131.831
1974-08,All Items,Recreation & Culture,58.065
1974-08,All Items,Education,19.958
1974-08,All Items,Miscellaneous Goods & Services,29.454
1974-09,All Items,Food,47.223
1974-09,All Items,Food Excl Food Servicing Services,na
1974-09,All Items,Food Servicing Services,na
1974-09,All Items,Clothing & Footwear,78.317
1974-09,All Items,Housing & Utilities,32.722
1974-09,All Items,Household Durables And Services,58.914
1974-09,All Items,Health Care,26.081
1974-09,All Items,Transport,29.804
1974-09,All Items,Communication,131.831
1974-09,All Items,Recreation & Culture,58.065
1974-09,All Items,Education,19.958
1974-09,All Items,Miscellaneous Goods & Services,29.495
1974-10,All Items,Food,47.936
1974-10,All Items,Food Excl Food Servicing Services,na
1974-10,All Items,Food Servicing Services,na
1974-10,All Items,Clothing & Footwear,78.378
1974-10,All Items,Housing & Utilities,32.734
1974-10,All Items,Household Durables And Services,59.424
1974-10,All Items,Health Care,26.534
1974-10,All Items,Transport,29.813
1974-10,All Items,Communication,131.831
1974-10,All Items,Recreation & Culture,58.095
1974-10,All Items,Education,19.958
1974-10,All Items,Miscellaneous Goods & Services,29.564
1974-11,All Items,Food,48.027
1974-11,All Items,Food Excl Food Servicing Services,na
1974-11,All Items,Food Servicing Services,na
1974-11,All Items,Clothing & Footwear,78.542
1974-11,All Items,Housing & Utilities,32.999
1974-11,All Items,Household Durables And Services,59.55
1974-11,All Items,Health Care,26.523
1974-11,All Items,Transport,29.813
1974-11,All Items,Communication,131.831
1974-11,All Items,Recreation & Culture,58.095
1974-11,All Items,Education,19.958
1974-11,All Items,Miscellaneous Goods & Services,29.59
1974-12,All Items,Food,48.69
1974-12,All Items,Food Excl Food Servicing Services,na
1974-12,All Items,Food Servicing Services,na
1974-12,All Items,Clothing & Footwear,78.486
1974-12,All Items,Housing & Utilities,32.992
1974-12,All Items,Household Durables And Services,59.075
1974-12,All Items,Health Care,26.701
1974-12,All Items,Transport,29.813
1974-12,All Items,Communication,131.831
1974-12,All Items,Recreation & Culture,58.095
1974-12,All Items,Education,19.958
1974-12,All Items,Miscellaneous Goods & Services,29.599
1975-01,All Items,Food,49.029
1975-01,All Items,Food Excl Food Servicing Services,na
1975-01,All Items,Food Servicing Services,na
1975-01,All Items,Clothing & Footwear,78.113
1975-01,All Items,Housing & Utilities,32.991
1975-01,All Items,Household Durables And Services,59.348
1975-01,All Items,Health Care,26.805
1975-01,All Items,Transport,29.813
1975-01,All Items,Communication,131.831
1975-01,All Items,Recreation & Culture,58.189
1975-01,All Items,Education,19.958
1975-01,All Items,Miscellaneous Goods & Services,29.837
1975-02,All Items,Food,49.215
1975-02,All Items,Food Excl Food Servicing Services,na
1975-02,All Items,Food Servicing Services,na
1975-02,All Items,Clothing & Footwear,77.693
1975-02,All Items,Housing & Utilities,32.989
1975-02,All Items,Household Durables And Services,59.408
1975-02,All Items,Health Care,26.964
1975-02,All Items,Transport,29.797
1975-02,All Items,Communication,131.831
1975-02,All Items,Recreation & Culture,58.189
1975-02,All Items,Education,19.958
1975-02,All Items,Miscellaneous Goods & Services,29.851
1975-03,All Items,Food,47.474
1975-03,All Items,Food Excl Food Servicing Services,na
1975-03,All Items,Food Servicing Services,na
1975-03,All Items,Clothing & Footwear,77.145
1975-03,All Items,Housing & Utilities,32.97
1975-03,All Items,Household Durables And Services,59.973
1975-03,All Items,Health Care,27.044
1975-03,All Items,Transport,29.99
1975-03,All Items,Communication,131.831
1975-03,All Items,Recreation & Culture,58.189
1975-03,All Items,Education,19.958
1975-03,All Items,Miscellaneous Goods & Services,30.088
1975-04,All Items,Food,46.809
1975-04,All Items,Food Excl Food Servicing Services,na
1975-04,All Items,Food Servicing Services,na
1975-04,All Items,Clothing & Footwear,76.996
1975-04,All Items,Housing & Utilities,33.002
1975-04,All Items,Household Durables And Services,60.527
1975-04,All Items,Health Care,27.399
1975-04,All Items,Transport,30.019
1975-04,All Items,Communication,131.831
1975-04,All Items,Recreation & Culture,58.485
1975-04,All Items,Education,19.958
1975-04,All Items,Miscellaneous Goods & Services,30.186
1975-05,All Items,Food,46.836
1975-05,All Items,Food Excl Food Servicing Services,na
1975-05,All Items,Food Servicing Services,na
1975-05,All Items,Clothing & Footwear,76.637
1975-05,All Items,Housing & Utilities,33.477
1975-05,All Items,Household Durables And Services,60.347
1975-05,All Items,Health Care,27.428
1975-05,All Items,Transport,30.046
1975-05,All Items,Communication,131.831
1975-05,All Items,Recreation & Culture,58.485
1975-05,All Items,Education,19.958
1975-05,All Items,Miscellaneous Goods & Services,31.211
1975-06,All Items,Food,46.983
1975-06,All Items,Food Excl Food Servicing Services,na
1975-06,All Items,Food Servicing Services,na
1975-06,All Items,Clothing & Footwear,76.473
1975-06,All Items,Housing & Utilities,33.48
1975-06,All Items,Household Durables And Services,60.46
1975-06,All Items,Health Care,27.444
1975-06,All Items,Transport,30.046
1975-06,All Items,Communication,131.831
1975-06,All Items,Recreation & Culture,58.485
1975-06,All Items,Education,19.998
1975-06,All Items,Miscellaneous Goods & Services,31.728
1975-07,All Items,Food,46.951
1975-07,All Items,Food Excl Food Servicing Services,na
1975-07,All Items,Food Servicing Services,na
1975-07,All Items,Clothing & Footwear,76.401
1975-07,All Items,Housing & Utilities,34.26
1975-07,All Items,Household Durables And Services,60.247
1975-07,All Items,Health Care,27.837
1975-07,All Items,Transport,30.083
1975-07,All Items,Communication,131.831
1975-07,All Items,Recreation & Culture,58.621
1975-07,All Items,Education,19.998
1975-07,All Items,Miscellaneous Goods & Services,31.748
1975-08,All Items,Food,47.317
1975-08,All Items,Food Excl Food Servicing Services,na
1975-08,All Items,Food Servicing Services,na
1975-08,All Items,Clothing & Footwear,76.028
1975-08,All Items,Housing & Utilities,34.26
1975-08,All Items,Household Durables And Services,60.186
1975-08,All Items,Health Care,28.25
1975-08,All Items,Transport,30.083
1975-08,All Items,Communication,131.831
1975-08,All Items,Recreation & Culture,58.621
1975-08,All Items,Education,19.998
1975-08,All Items,Miscellaneous Goods & Services,31.703
1975-09,All Items,Food,46.859
1975-09,All Items,Food Excl Food Servicing Services,na
1975-09,All Items,Food Servicing Services,na
1975-09,All Items,Clothing & Footwear,76.212
1975-09,All Items,Housing & Utilities,35.824
1975-09,All Items,Household Durables And Services,60.192
1975-09,All Items,Health Care,28.25
1975-09,All Items,Transport,30.113
1975-09,All Items,Communication,131.831
1975-09,All Items,Recreation & Culture,58.621
1975-09,All Items,Education,19.998
1975-09,All Items,Miscellaneous Goods & Services,31.695
1975-10,All Items,Food,45.984
1975-10,All Items,Food Excl Food Servicing Services,na
1975-10,All Items,Food Servicing Services,na
1975-10,All Items,Clothing & Footwear,76.694
1975-10,All Items,Housing & Utilities,35.873
1975-10,All Items,Household Durables And Services,60.116
1975-10,All Items,Health Care,28.25
1975-10,All Items,Transport,30.113
1975-10,All Items,Communication,131.831
1975-10,All Items,Recreation & Culture,58.621
1975-10,All Items,Education,19.998
1975-10,All Items,Miscellaneous Goods & Services,31.687
1975-11,All Items,Food,46.037
1975-11,All Items,Food Excl Food Servicing Services,na
1975-11,All Items,Food Servicing Services,na
1975-11,All Items,Clothing & Footwear,77.245
1975-11,All Items,Housing & Utilities,36.164
1975-11,All Items,Household Durables And Services,60.056
1975-11,All Items,Health Care,28.25
1975-11,All Items,Transport,30.131
1975-11,All Items,Communication,131.831
1975-11,All Items,Recreation & Culture,58.621
1975-11,All Items,Education,19.998
1975-11,All Items,Miscellaneous Goods & Services,31.68
1975-12,All Items,Food,46.369
1975-12,All Items,Food Excl Food Servicing Services,na
1975-12,All Items,Food Servicing Services,na
1975-12,All Items,Clothing & Footwear,77.714
1975-12,All Items,Housing & Utilities,36.168
1975-12,All Items,Household Durables And Services,59.976
1975-12,All Items,Health Care,28.25
1975-12,All Items,Transport,30.131
1975-12,All Items,Communication,131.831
1975-12,All Items,Recreation & Culture,58.621
1975-12,All Items,Education,19.998
1975-12,All Items,Miscellaneous Goods & Services,31.676
1976-01,All Items,Food,46.016
1976-01,All Items,Food Excl Food Servicing Services,na
1976-01,All Items,Food Servicing Services,na
1976-01,All Items,Clothing & Footwear,77.812
1976-01,All Items,Housing & Utilities,36.208
1976-01,All Items,Household Durables And Services,59.994
1976-01,All Items,Health Care,28.257
1976-01,All Items,Transport,31.148
1976-01,All Items,Communication,131.831
1976-01,All Items,Recreation & Culture,58.344
1976-01,All Items,Education,19.998
1976-01,All Items,Miscellaneous Goods & Services,31.87
1976-02,All Items,Food,46.001
1976-02,All Items,Food Excl Food Servicing Services,na
1976-02,All Items,Food Servicing Services,na
1976-02,All Items,Clothing & Footwear,77.104
1976-02,All Items,Housing & Utilities,36.241
1976-02,All Items,Household Durables And Services,59.897
1976-02,All Items,Health Care,28.25
1976-02,All Items,Transport,31.328
1976-02,All Items,Communication,131.831
1976-02,All Items,Recreation & Culture,58.621
1976-02,All Items,Education,19.998
1976-02,All Items,Miscellaneous Goods & Services,31.696
1976-03,All Items,Food,44.786
1976-03,All Items,Food Excl Food Servicing Services,na
1976-03,All Items,Food Servicing Services,na
1976-03,All Items,Clothing & Footwear,77.304
1976-03,All Items,Housing & Utilities,36.649
1976-03,All Items,Household Durables And Services,59.752
1976-03,All Items,Health Care,28.247
1976-03,All Items,Transport,31.328
1976-03,All Items,Communication,131.831
1976-03,All Items,Recreation & Culture,58.621
1976-03,All Items,Education,19.998
1976-03,All Items,Miscellaneous Goods & Services,31.711
1976-04,All Items,Food,43.978
1976-04,All Items,Food Excl Food Servicing Services,na
1976-04,All Items,Food Servicing Services,na
1976-04,All Items,Clothing & Footwear,77.121
1976-04,All Items,Housing & Utilities,36.646
1976-04,All Items,Household Durables And Services,59.816
1976-04,All Items,Health Care,28.247
1976-04,All Items,Transport,31.328
1976-04,All Items,Communication,131.831
1976-04,All Items,Recreation & Culture,58.621
1976-04,All Items,Education,19.998
1976-04,All Items,Miscellaneous Goods & Services,31.724
1976-05,All Items,Food,44.275
1976-05,All Items,Food Excl Food Servicing Services,na
1976-05,All Items,Food Servicing Services,na
1976-05,All Items,Clothing & Footwear,77.22
1976-05,All Items,Housing & Utilities,36.649
1976-05,All Items,Household Durables And Services,60.224
1976-05,All Items,Health Care,28.47
1976-05,All Items,Transport,31.328
1976-05,All Items,Communication,131.831
1976-05,All Items,Recreation & Culture,58.621
1976-05,All Items,Education,19.998
1976-05,All Items,Miscellaneous Goods & Services,31.724
1976-06,All Items,Food,43.829
1976-06,All Items,Food Excl Food Servicing Services,na
1976-06,All Items,Food Servicing Services,na
1976-06,All Items,Clothing & Footwear,77.467
1976-06,All Items,Housing & Utilities,36.651
1976-06,All Items,Household Durables And Services,59.646
1976-06,All Items,Health Care,28.47
1976-06,All Items,Transport,31.328
1976-06,All Items,Communication,131.831
1976-06,All Items,Recreation & Culture,58.621
1976-06,All Items,Education,20.266
1976-06,All Items,Miscellaneous Goods & Services,31.75
1976-07,All Items,Food,43.767
1976-07,All Items,Food Excl Food Servicing Services,na
1976-07,All Items,Food Servicing Services,na
1976-07,All Items,Clothing & Footwear,77.542
1976-07,All Items,Housing & Utilities,36.659
1976-07,All Items,Household Durables And Services,59.185
1976-07,All Items,Health Care,28.477
1976-07,All Items,Transport,31.343
1976-07,All Items,Communication,131.831
1976-07,All Items,Recreation & Culture,58.621
1976-07,All Items,Education,20.266
1976-07,All Items,Miscellaneous Goods & Services,31.825
1976-08,All Items,Food,43.653
1976-08,All Items,Food Excl Food Servicing Services,na
1976-08,All Items,Food Servicing Services,na
1976-08,All Items,Clothing & Footwear,77.465
1976-08,All Items,Housing & Utilities,36.662
1976-08,All Items,Household Durables And Services,59.261
1976-08,All Items,Health Care,28.477
1976-08,All Items,Transport,31.343
1976-08,All Items,Communication,131.831
1976-08,All Items,Recreation & Culture,58.621
1976-08,All Items,Education,20.266
1976-08,All Items,Miscellaneous Goods & Services,31.844
1976-09,All Items,Food,43.486
1976-09,All Items,Food Excl Food Servicing Services,na
1976-09,All Items,Food Servicing Services,na
1976-09,All Items,Clothing & Footwear,77.465
1976-09,All Items,Housing & Utilities,36.662
1976-09,All Items,Household Durables And Services,59.221
1976-09,All Items,Health Care,28.553
1976-09,All Items,Transport,31.349
1976-09,All Items,Communication,131.831
1976-09,All Items,Recreation & Culture,58.586
1976-09,All Items,Education,20.266
1976-09,All Items,Miscellaneous Goods & Services,31.919
1976-10,All Items,Food,43.398
1976-10,All Items,Food Excl Food Servicing Services,na
1976-10,All Items,Food Servicing Services,na
1976-10,All Items,Clothing & Footwear,77.501
1976-10,All Items,Housing & Utilities,36.67
1976-10,All Items,Household Durables And Services,59.221
1976-10,All Items,Health Care,28.564
1976-10,All Items,Transport,31.357
1976-10,All Items,Communication,131.831
1976-10,All Items,Recreation & Culture,58.586
1976-10,All Items,Education,20.266
1976-10,All Items,Miscellaneous Goods & Services,31.91
1976-11,All Items,Food,43.873
1976-11,All Items,Food Excl Food Servicing Services,na
1976-11,All Items,Food Servicing Services,na
1976-11,All Items,Clothing & Footwear,77.58
1976-11,All Items,Housing & Utilities,36.719
1976-11,All Items,Household Durables And Services,59.128
1976-11,All Items,Health Care,28.553
1976-11,All Items,Transport,31.357
1976-11,All Items,Communication,131.831
1976-11,All Items,Recreation & Culture,58.586
1976-11,All Items,Education,20.266
1976-11,All Items,Miscellaneous Goods & Services,31.91
1976-12,All Items,Food,44.493
1976-12,All Items,Food Excl Food Servicing Services,na
1976-12,All Items,Food Servicing Services,na
1976-12,All Items,Clothing & Footwear,78.113
1976-12,All Items,Housing & Utilities,36.719
1976-12,All Items,Household Durables And Services,59.121
1976-12,All Items,Health Care,28.554
1976-12,All Items,Transport,31.357
1976-12,All Items,Communication,131.831
1976-12,All Items,Recreation & Culture,58.586
1976-12,All Items,Education,20.266
1976-12,All Items,Miscellaneous Goods & Services,31.953
1977-01,All Items,Food,45.495
1977-01,All Items,Food Excl Food Servicing Services,na
1977-01,All Items,Food Servicing Services,na
1977-01,All Items,Clothing & Footwear,78.618
1977-01,All Items,Housing & Utilities,36.734
1977-01,All Items,Household Durables And Services,59.764
1977-01,All Items,Health Care,28.826
1977-01,All Items,Transport,31.391
1977-01,All Items,Communication,131.831
1977-01,All Items,Recreation & Culture,58.621
1977-01,All Items,Education,20.266
1977-01,All Items,Miscellaneous Goods & Services,32.057
1977-02,All Items,Food,45.992
1977-02,All Items,Food Excl Food Servicing Services,na
1977-02,All Items,Food Servicing Services,na
1977-02,All Items,Clothing & Footwear,78.713
1977-02,All Items,Housing & Utilities,36.815
1977-02,All Items,Household Durables And Services,59.925
1977-02,All Items,Health Care,28.83
1977-02,All Items,Transport,31.391
1977-02,All Items,Communication,131.831
1977-02,All Items,Recreation & Culture,58.621
1977-02,All Items,Education,20.266
1977-02,All Items,Miscellaneous Goods & Services,32.246
1977-03,All Items,Food,45.421
1977-03,All Items,Food Excl Food Servicing Services,na
1977-03,All Items,Food Servicing Services,na
1977-03,All Items,Clothing & Footwear,78.308
1977-03,All Items,Housing & Utilities,36.894
1977-03,All Items,Household Durables And Services,60.234
1977-03,All Items,Health Care,28.833
1977-03,All Items,Transport,31.391
1977-03,All Items,Communication,131.831
1977-03,All Items,Recreation & Culture,58.621
1977-03,All Items,Education,20.266
1977-03,All Items,Miscellaneous Goods & Services,32.131
1977-04,All Items,Food,44.683
1977-04,All Items,Food Excl Food Servicing Services,na
1977-04,All Items,Food Servicing Services,na
1977-04,All Items,Clothing & Footwear,78.406
1977-04,All Items,Housing & Utilities,36.896
1977-04,All Items,Household Durables And Services,60.241
1977-04,All Items,Health Care,28.833
1977-04,All Items,Transport,31.416
1977-04,All Items,Communication,131.831
1977-04,All Items,Recreation & Culture,58.621
1977-04,All Items,Education,20.266
1977-04,All Items,Miscellaneous Goods & Services,32.21
1977-05,All Items,Food,45.298
1977-05,All Items,Food Excl Food Servicing Services,na
1977-05,All Items,Food Servicing Services,na
1977-05,All Items,Clothing & Footwear,78.315
1977-05,All Items,Housing & Utilities,37.077
1977-05,All Items,Household Durables And Services,60.475
1977-05,All Items,Health Care,28.833
1977-05,All Items,Transport,31.53
1977-05,All Items,Communication,131.831
1977-05,All Items,Recreation & Culture,57.972
1977-05,All Items,Education,20.266
1977-05,All Items,Miscellaneous Goods & Services,32.205
1977-06,All Items,Food,45.548
1977-06,All Items,Food Excl Food Servicing Services,na
1977-06,All Items,Food Servicing Services,na
1977-06,All Items,Clothing & Footwear,78.264
1977-06,All Items,Housing & Utilities,37.083
1977-06,All Items,Household Durables And Services,60.47
1977-06,All Items,Health Care,28.833
1977-06,All Items,Transport,31.537
1977-06,All Items,Communication,131.831
1977-06,All Items,Recreation & Culture,57.972
1977-06,All Items,Education,20.736
1977-06,All Items,Miscellaneous Goods & Services,32.263
1977-07,All Items,Food,46.326
1977-07,All Items,Food Excl Food Servicing Services,na
1977-07,All Items,Food Servicing Services,na
1977-07,All Items,Clothing & Footwear,78.439
1977-07,All Items,Housing & Utilities,37.086
1977-07,All Items,Household Durables And Services,61.066
1977-07,All Items,Health Care,28.833
1977-07,All Items,Transport,31.576
1977-07,All Items,Communication,131.831
1977-07,All Items,Recreation & Culture,58.621
1977-07,All Items,Education,20.736
1977-07,All Items,Miscellaneous Goods & Services,32.291
1977-08,All Items,Food,47.597
1977-08,All Items,Food Excl Food Servicing Services,na
1977-08,All Items,Food Servicing Services,na
1977-08,All Items,Clothing & Footwear,78.661
1977-08,All Items,Housing & Utilities,37.086
1977-08,All Items,Household Durables And Services,61.049
1977-08,All Items,Health Care,28.833
1977-08,All Items,Transport,31.576
1977-08,All Items,Communication,131.831
1977-08,All Items,Recreation & Culture,58.621
1977-08,All Items,Education,20.736
1977-08,All Items,Miscellaneous Goods & Services,32.34
1977-09,All Items,Food,48.143
1977-09,All Items,Food Excl Food Servicing Services,na
1977-09,All Items,Food Servicing Services,na
