month,level_1,level_2,value
1962-02,All Items,Food,24.369
1962-02,All Items,Food Excl Food Servicing Services,na
1962-02,All Items,Food Servicing Services,na
1962-02,All Items,Clothing & Footwear,54.539
1962-02,All Items,Housing & Utilities,23.567
1962-02,All Items,Household Durables And Services,33.402
1962-02,All Items,Health Care,19.863
1962-02,All Items,Transport,20.303
1962-02,All Items,Communication,87.887
1962-02,All Items,Recreation & Culture,51.022
1962-02,All Items,Education,17.275
1962-02,All Items,Miscellaneous Goods & Services,19.142
1962-03,All Items,Food,23.777
1962-03,All Items,Food Excl Food Servicing Services,na
1962-03,All Items,Food Servicing Services,na
1962-03,All Items,Clothing & Footwear,54.422
1962-03,All Items,Housing & Utilities,23.516
1962-03,All Items,Household Durables And Services,33.371
1962-03,All Items,Health Care,19.863
1962-03,All Items,Transport,20.303
1962-03,All Items,Communication,87.887
1962-03,All Items,Recreation & Culture,51.022
1962-03,All Items,Education,17.275
1962-03,All Items,Miscellaneous Goods & Services,19.142
1962-04,All Items,Food,23.566
1962-04,All Items,Food Excl Food Servicing Services,na
1962-04,All Items,Food Servicing Services,na
1962-04,All Items,Clothing & Footwear,54.539
1962-04,All Items,Housing & Utilities,23.516
1962-04,All Items,Household Durables And Services,33.361
1962-04,All Items,Health Care,19.863
1962-04,All Items,Transport,20.303
1962-04,All Items,Communication,87.887
1962-04,All Items,Recreation & Culture,51.022
1962-04,All Items,Education,17.275
1962-04,All Items,Miscellaneous Goods & Services,19.127
1962-05,All Items,Food,23.56
1962-05,All Items,Food Excl Food Servicing Services,na
1962-05,All Items,Food Servicing Services,na
1962-05,All Items,Clothing & Footwear,54.539
1962-05,All Items,Housing & Utilities,23.713
1962-05,All Items,Household Durables And Services,33.345
1962-05,All Items,Health Care,19.863
1962-05,All Items,Transport,20.303
1962-05,All Items,Communication,87.887
1962-05,All Items,Recreation & Culture,51.022
1962-05,All Items,Education,17.275
1962-05,All Items,Miscellaneous Goods & Services,19.127
1962-06,All Items,Food,23.758
1962-06,All Items,Food Excl Food Servicing Services,na
1962-06,All Items,Food Servicing Services,na
1962-06,All Items,Clothing & Footwear,54.539
1962-06,All Items,Housing & Utilities,23.713
1962-06,All Items,Household Durables And Services,33.345
1962-06,All Items,Health Care,19.863
1962-06,All Items,Transport,20.303
1962-06,All Items,Communication,87.887
1962-06,All Items,Recreation & Culture,51.022
1962-06,All Items,Education,17.275
1962-06,All Items,Miscellaneous Goods & Services,19.127
1962-07,All Items,Food,23.859
1962-07,All Items,Food Excl Food Servicing Services,na
1962-07,All Items,Food Servicing Services,na
1962-07,All Items,Clothing & Footwear,54.466
1962-07,All Items,Housing & Utilities,23.713
1962-07,All Items,Household Durables And Services,33.371
1962-07,All Items,Health Care,19.863
1962-07,All Items,Transport,20.303
1962-07,All Items,Communication,87.887
1962-07,All Items,Recreation & Culture,51.022
1962-07,All Items,Education,17.275
1962-07,All Items,Miscellaneous Goods & Services,19.127
1962-08,All Items,Food,23.732
1962-08,All Items,Food Excl Food Servicing Services,na
1962-08,All Items,Food Servicing Services,na
1962-08,All Items,Clothing & Footwear,54.447
1962-08,All Items,Housing & Utilities,23.698
1962-08,All Items,Household Durables And Services,33.409
1962-08,All Items,Health Care,19.863
1962-08,All Items,Transport,20.303
1962-08,All Items,Communication,87.887
1962-08,All Items,Recreation & Culture,51.022
1962-08,All Items,Education,17.275
1962-08,All Items,Miscellaneous Goods & Services,19.127
1962-09,All Items,Food,23.916
1962-09,All Items,Food Excl Food Servicing Services,na
1962-09,All Items,Food Servicing Services,na
1962-09,All Items,Clothing & Footwear,54.181
1962-09,All Items,Housing & Utilities,23.698
1962-09,All Items,Household Durables And Services,33.396
1962-09,All Items,Health Care,19.863
1962-09,All Items,Transport,20.303
1962-09,All Items,Communication,87.887
1962-09,All Items,Recreation & Culture,51.022
1962-09,All Items,Education,17.275
1962-09,All Items,Miscellaneous Goods & Services,19.127
1962-10,All Items,Food,23.822
1962-10,All Items,Food Excl Food Servicing Services,na
1962-10,All Items,Food Servicing Services,na
1962-10,All Items,Clothing & Footwear,54.181
1962-10,All Items,Housing & Utilities,23.698
